,HT,AT,SHT,AHT,+1.5,-1.5,OS,+>=-,target
0,Chapecoense,Coritiba,2,1,1.45,2.65,3,1,1
1,Palmeiras,Atlético Mineiro,2,2,1.42,2.8,4,1,1
2,Fluminense,Joinville,1,0,1.38,2.9,1,1,0
3,Grêmio,Ponte Preta,3,3,1.42,2.7,6,1,1
4,Athletico-PR,Internacional,3,0,1.42,2.8,3,1,1
5,Cruzeiro,Corinthians,0,1,1.42,2.8,1,1,0
6,São Paulo,Flamengo,2,1,1.4,2.9,3,1,1
7,Sport Recife,Figueirense,4,1,1.42,2.75,5,1,1
8,Avaí,Santos,1,1,1.38,3.0,2,1,1
9,Vasco da Gama,Goiás,0,0,1.45,2.7,0,1,0
10,Coritiba,Grêmio,2,0,1.5,2.45,2,1,1
11,Goiás,Athletico-PR,2,0,1.48,2.5,2,1,1
12,Corinthians,Chapecoense,1,0,1.45,2.7,1,1,0
13,Figueirense,Vasco da Gama,0,0,1.45,2.7,0,1,0
14,Atlético Mineiro,Fluminense,4,1,1.4,2.9,5,1,1
15,Flamengo,Sport Recife,2,2,1.35,3.0,4,1,1
16,Santos,Cruzeiro,1,0,1.38,3.0,1,1,0
17,Internacional,Avaí,1,0,1.28,3.4,1,1,0
18,Joinville,Palmeiras,0,0,1.42,2.7,0,1,0
19,Ponte Preta,São Paulo,1,0,1.4,2.9,1,1,0
20,São Paulo,Joinville,3,0,1.38,3.0,3,1,1
21,Vasco da Gama,Internacional,1,1,1.42,2.7,2,1,1
22,Grêmio,Figueirense,1,0,1.38,2.9,1,1,0
23,Palmeiras,Goiás,0,1,1.4,2.9,1,1,0
24,Athletico-PR,Atlético Mineiro,1,0,1.35,3.1,1,1,0
25,Avaí,Flamengo,2,1,1.42,2.7,3,1,1
26,Chapecoense,Santos,1,0,1.45,2.7,1,1,0
27,Fluminense,Corinthians,0,0,1.48,2.6,0,1,0
28,Cruzeiro,Ponte Preta,1,1,1.38,3.0,2,1,1
29,Sport Recife,Coritiba,1,0,1.42,2.75,1,1,0
