,HT,AT,SHT,AHT,+0.5,-0.5,+1.5,-1.5,+2.5,-2.5,+3.5,-3.5,OS
0,Chapecoense,Coritiba,2,1,1.09,1.09,1.45,2.65,2.4,1.53,4.3,1.18,3
1,Palmeiras,Atlético Mineiro,2,2,1.08,1.08,1.42,2.8,2.3,1.62,4.0,1.2,4
2,Fluminense,Joinville,1,0,1.08,1.08,1.38,2.9,2.2,1.65,3.75,1.22,1
3,Grêmio,Ponte Preta,3,3,1.09,1.09,1.42,2.7,2.35,1.57,4.2,1.2,6
4,Athletico-PR,Internacional,3,0,1.08,1.08,1.42,2.8,2.25,1.62,4.0,1.2,3
5,Cruzeiro,Corinthians,0,1,1.09,1.09,1.42,2.8,2.3,1.6,4.0,1.2,1
6,São Paulo,Flamengo,2,1,1.08,1.08,1.4,2.9,2.15,1.67,3.9,1.22,3
7,Sport Recife,Figueirense,4,1,1.08,1.08,1.42,2.75,2.25,1.62,4.1,1.2,5
8,Avaí,Santos,1,1,1.07,1.07,1.38,3.0,2.1,1.7,3.75,1.22,2
9,Vasco da Gama,Goiás,0,0,1.09,1.09,1.45,2.7,2.3,1.6,4.3,1.2,0
10,Coritiba,Grêmio,2,0,1.11,1.11,1.5,2.45,2.6,1.48,4.75,1.16,2
11,Goiás,Athletico-PR,2,0,1.1,1.1,1.48,2.5,2.5,1.5,4.6,1.17,2
12,Corinthians,Chapecoense,1,0,1.09,1.09,1.45,2.7,2.5,1.5,4.3,1.2,1
13,Figueirense,Vasco da Gama,0,0,1.09,1.09,1.45,2.7,2.4,1.53,4.3,1.2,0
14,Atlético Mineiro,Fluminense,4,1,1.08,1.08,1.4,2.9,2.2,1.65,3.9,1.22,5
15,Flamengo,Sport Recife,2,2,1.07,1.07,1.35,3.0,2.1,1.7,3.75,1.25,4
16,Santos,Cruzeiro,1,0,1.07,1.07,1.38,3.0,2.1,1.7,3.75,1.25,1
17,Internacional,Avaí,1,0,1.05,1.05,1.28,3.4,1.95,1.85,3.1,1.33,1
18,Joinville,Palmeiras,0,0,1.09,1.09,1.42,2.7,2.3,1.6,4.15,1.2,0
19,Ponte Preta,São Paulo,1,0,1.08,1.08,1.4,2.9,2.2,1.65,3.75,1.22,1
20,São Paulo,Joinville,3,0,1.08,1.08,1.38,3.0,2.1,1.7,3.75,1.22,3
21,Vasco da Gama,Internacional,1,1,1.09,1.09,1.42,2.7,2.35,1.57,4.25,1.2,2
22,Grêmio,Figueirense,1,0,1.08,1.08,1.38,2.9,2.15,1.67,3.8,1.22,1
23,Palmeiras,Goiás,0,1,1.08,1.08,1.4,2.9,2.15,1.67,3.9,1.22,1
24,Athletico-PR,Atlético Mineiro,1,0,1.07,1.07,1.35,3.1,2.05,1.75,3.5,1.28,1
25,Avaí,Flamengo,2,1,1.09,1.09,1.42,2.7,2.3,1.6,4.0,1.2,3
26,Chapecoense,Santos,1,0,1.09,1.09,1.45,2.7,2.3,1.6,4.3,1.2,1
27,Fluminense,Corinthians,0,0,1.1,1.1,1.48,2.6,2.4,1.53,4.4,1.18,0
28,Cruzeiro,Ponte Preta,1,1,1.07,1.07,1.38,3.0,2.2,1.65,3.75,1.25,2
29,Sport Recife,Coritiba,1,0,1.08,1.08,1.42,2.75,2.3,1.6,4.15,1.2,1
30,São Paulo,Joinville,3,0,1.08,1.08,1.38,3.0,2.1,1.7,3.75,1.22,3
31,Vasco da Gama,Internacional,1,1,1.09,1.09,1.42,2.7,2.35,1.57,4.25,1.2,2
32,Grêmio,Figueirense,1,0,1.08,1.08,1.38,2.9,2.15,1.67,3.8,1.22,1
33,Palmeiras,Goiás,0,1,1.08,1.08,1.4,2.9,2.15,1.67,3.9,1.22,1
34,Athletico-PR,Atlético Mineiro,1,0,1.07,1.07,1.35,3.1,2.05,1.75,3.5,1.28,1
35,Chapecoense,Santos,1,0,1.09,1.09,1.45,2.7,2.3,1.6,4.3,1.2,1
36,Fluminense,Corinthians,0,0,1.1,1.1,1.48,2.6,2.4,1.53,4.4,1.18,0
37,Cruzeiro,Ponte Preta,1,1,1.07,1.07,1.38,3.0,2.2,1.65,3.75,1.25,2
38,Sport Recife,Coritiba,1,0,1.08,1.08,1.42,2.75,2.3,1.6,4.15,1.2,1
39,Athletico-PR,Figueirense,1,0,1.09,1.09,1.45,2.7,2.35,1.57,4.3,1.18,1
40,Chapecoense,Joinville,2,0,1.09,1.09,1.45,2.65,2.4,1.53,4.3,1.18,2
41,Vasco da Gama,Ponte Preta,0,3,1.09,1.09,1.42,2.7,2.35,1.57,4.25,1.2,3
42,São Paulo,Santos,3,2,1.07,1.07,1.4,2.9,2.15,1.67,3.9,1.22,5
43,São Paulo,Santos,3,2,1.07,1.07,1.4,2.9,2.15,1.67,3.9,1.22,5
44,Cruzeiro,Flamengo,1,0,1.07,1.07,1.38,3.0,2.1,1.7,3.75,1.25,1
45,Grêmio,Corinthians,3,1,1.12,1.12,1.55,2.4,2.88,1.4,5.1,1.15,4
46,Fluminense,Coritiba,2,0,1.08,1.08,1.4,2.9,2.15,1.67,4.0,1.22,2
47,Sport Recife,Goiás,1,0,1.09,1.09,1.42,2.7,2.35,1.57,4.3,1.2,1
48,Atlético Mineiro,Cruzeiro,1,3,1.05,1.05,1.28,3.4,1.85,1.95,3.1,1.33,4
49,Flamengo,Chapecoense,1,0,1.09,1.09,1.45,2.7,2.3,1.6,4.3,1.18,1
50,Santos,Ponte Preta,2,2,1.07,1.07,1.35,3.0,2.05,1.75,3.5,1.25,4
51,Athletico-PR,Vasco da Gama,2,0,1.08,1.08,1.4,2.9,2.2,1.65,4.0,1.22,2
52,Joinville,Corinthians,0,1,1.11,1.11,1.5,2.45,2.7,1.44,4.9,1.16,1
53,São Paulo,Grêmio,2,0,1.09,1.09,1.45,2.7,2.4,1.53,4.3,1.18,2
54,Internacional,Coritiba,2,0,1.08,1.08,1.4,2.8,2.2,1.65,4.0,1.22,2
55,Figueirense,Palmeiras,2,1,1.09,1.09,1.45,2.7,2.4,1.53,4.3,1.2,3
56,Fluminense,Sport Recife,0,0,1.08,1.08,1.4,2.9,2.1,1.7,3.9,1.22,0
57,Goiás,Avaí,0,1,1.09,1.09,1.45,2.7,2.4,1.53,4.3,1.18,1
58,Atlético Mineiro,Santos,2,2,1.03,1.03,1.22,4.0,1.65,2.2,2.7,1.42,4
59,Chapecoense,São Paulo,0,1,1.11,1.11,1.5,2.45,2.6,1.48,4.8,1.16,1
60,Corinthians,Internacional,2,1,1.11,1.11,1.5,2.45,2.4,1.53,4.9,1.16,3
61,Coritiba,Flamengo,0,1,1.1,1.1,1.45,2.6,2.4,1.53,4.3,1.18,1
62,Sport Recife,Joinville,2,1,1.08,1.08,1.42,2.7,2.25,1.62,4.3,1.2,3
63,Vasco da Gama,Cruzeiro,1,3,1.09,1.09,1.45,2.7,2.35,1.57,4.6,1.2,4
64,Ponte Preta,Goiás,0,0,1.08,1.08,1.42,2.8,2.25,1.62,4.35,1.2,0
65,Avaí,Figueirense,1,1,1.09,1.09,1.45,2.65,2.4,1.53,4.3,1.18,2
66,Grêmio,Athletico-PR,2,1,1.09,1.09,1.47,2.75,2.25,1.62,4.7,1.2,3
67,Palmeiras,Fluminense,2,1,1.09,1.09,1.43,2.75,2.25,1.62,4.4,1.2,3
68,Figueirense,Internacional,0,0,1.1,1.1,1.48,2.55,2.5,1.5,4.5,1.18,0
69,Flamengo,Atlético Mineiro,0,2,1.06,1.06,1.3,3.2,1.95,1.85,3.2,1.3,2
70,Santos,Corinthians,1,0,1.09,1.09,1.42,2.8,2.3,1.6,4.35,1.2,1
71,Grêmio,Palmeiras,1,0,1.09,1.09,1.48,2.7,2.4,1.53,4.8,1.18,1
72,Athletico-PR,Coritiba,2,2,1.09,1.09,1.45,2.7,2.4,1.53,4.3,1.2,4
73,Joinville,Goiás,2,1,1.12,1.12,1.56,2.35,2.6,1.48,5.35,1.15,3
74,São Paulo,Avaí,1,1,1.06,1.06,1.33,3.45,2.0,1.8,3.4,1.31,2
75,Fluminense,Ponte Preta,2,0,1.09,1.09,1.42,2.8,2.25,1.62,4.25,1.2,2
76,Avaí,Grêmio,1,2,1.1,1.1,1.49,2.55,2.5,1.5,5.0,1.18,3
77,Chapecoense,Sport Recife,1,1,1.09,1.09,1.45,2.65,2.35,1.57,4.3,1.18,2
78,Corinthians,Figueirense,2,1,1.09,1.09,1.45,2.7,2.4,1.53,4.3,1.18,3
79,Atlético Mineiro,Joinville,1,0,1.03,1.03,1.2,4.4,1.65,2.2,2.6,1.48,1
80,Coritiba,Cruzeiro,1,0,1.09,1.09,1.42,2.7,2.25,1.62,4.2,1.2,1
81,Goiás,Fluminense,1,2,1.11,1.11,1.5,2.65,2.5,1.5,4.75,1.18,3
82,Palmeiras,São Paulo,4,0,1.09,1.09,1.45,2.65,2.35,1.57,4.5,1.18,4
83,Ponte Preta,Athletico-PR,2,1,1.07,1.07,1.41,3.0,2.1,1.7,4.35,1.25,3
84,Internacional,Santos,1,0,1.08,1.08,1.38,3.0,2.1,1.7,3.75,1.22,1
85,Vasco da Gama,Flamengo,1,0,1.09,1.09,1.45,2.7,2.3,1.6,4.55,1.2,1
86,Sport Recife,Internacional,3,0,1.08,1.08,1.42,2.8,2.25,1.62,4.25,1.2,3
87,Atlético Mineiro,Coritiba,2,0,1.03,1.03,1.21,4.15,1.7,2.1,2.75,1.45,2
88,Atlético Mineiro,Coritiba,2,0,1.03,1.03,1.21,4.15,1.7,2.1,2.75,1.45,2
89,Athletico-PR,São Paulo,2,1,1.09,1.09,1.45,2.7,2.3,1.6,4.4,1.2,3
90,Grêmio,Cruzeiro,1,0,1.08,1.08,1.42,2.8,2.25,1.62,4.0,1.2,1
91,Joinville,Flamengo,0,1,1.1,1.1,1.48,2.55,2.5,1.5,4.5,1.18,1
92,Corinthians,Ponte Preta,2,0,1.09,1.09,1.45,2.6,2.35,1.57,4.3,1.18,2
93,Fluminense,Santos,2,1,1.07,1.07,1.42,3.0,2.1,1.7,4.45,1.25,3
94,Coritiba,Joinville,0,0,1.1,1.1,1.45,2.6,2.4,1.53,4.4,1.18,0
95,Chapecoense,Vasco da Gama,1,0,1.11,1.11,1.52,2.4,2.6,1.48,5.0,1.16,1
96,Cruzeiro,Athletico-PR,2,0,1.08,1.08,1.38,3.0,2.15,1.67,3.75,1.22,2
97,Goiás,Corinthians,0,0,1.12,1.12,1.55,2.4,2.88,1.4,5.2,1.16,0
98,Santos,Grêmio,1,3,1.09,1.09,1.45,2.65,2.35,1.57,4.3,1.18,4
99,São Paulo,Fluminense,0,0,1.06,1.06,1.35,3.1,2.1,1.7,3.5,1.28,0
100,Ponte Preta,Palmeiras,0,2,1.07,1.07,1.35,3.0,2.05,1.75,3.5,1.25,2
101,Chapecoense,Grêmio,1,0,1.12,1.12,1.55,2.35,2.88,1.4,5.5,1.15,1
102,Coritiba,Ponte Preta,0,0,1.09,1.09,1.45,2.7,2.25,1.62,4.3,1.23,0
103,Goiás,Santos,4,1,1.1,1.1,1.46,2.65,2.35,1.57,4.55,1.18,5
104,Figueirense,Joinville,0,2,1.1,1.1,1.5,2.45,2.6,1.48,4.8,1.16,2
105,Figueirense,Joinville,0,2,1.1,1.1,1.5,2.45,2.6,1.48,4.8,1.16,2
106,Internacional,Flamengo,1,2,1.09,1.09,1.45,2.7,2.15,1.67,4.5,1.2,3
107,Vasco da Gama,São Paulo,0,4,1.1,1.1,1.48,2.55,2.35,1.57,4.6,1.17,4
108,Corinthians,Athletico-PR,2,0,1.09,1.09,1.45,2.7,2.35,1.57,4.45,1.2,2
109,Fluminense,Cruzeiro,1,0,1.08,1.08,1.4,2.8,2.25,1.62,4.0,1.22,1
110,Grêmio,Vasco da Gama,2,0,1.07,1.07,1.35,3.0,2.1,1.7,3.75,1.25,2
111,Santos,Figueirense,3,0,1.07,1.07,1.39,3.0,2.08,1.73,3.75,1.25,3
112,Ponte Preta,Atlético Mineiro,0,2,1.06,1.06,1.33,3.2,2.0,1.8,3.3,1.3,2
113,Flamengo,Corinthians,0,3,1.12,1.12,1.55,2.45,2.7,1.44,5.25,1.15,3
114,Avaí,Chapecoense,2,1,1.11,1.11,1.52,2.45,2.7,1.44,5.0,1.16,3
115,Flamengo,Grêmio,1,0,1.1,1.1,1.48,2.6,2.5,1.5,4.8,1.18,1
116,Internacional,Goiás,2,1,1.09,1.09,1.46,2.7,2.4,1.53,4.65,1.2,3
117,Corinthians,Atlético Mineiro,1,0,1.09,1.09,1.45,3.05,2.1,1.7,4.3,1.24,1
118,Athletico-PR,Chapecoense,1,0,1.09,1.09,1.48,2.7,2.4,1.53,4.8,1.18,1
119,Palmeiras,Santos,1,0,1.07,1.07,1.35,3.25,2.05,1.75,3.6,1.27,1
120,Sport Recife,São Paulo,2,0,1.07,1.07,1.38,3.1,2.1,1.7,3.75,1.25,2
121,Cruzeiro,Avaí,1,1,1.03,1.03,1.23,3.95,1.8,2.0,2.9,1.38,2
122,Avaí,Athletico-PR,1,2,1.08,1.08,1.42,2.8,2.25,1.62,4.0,1.2,3
123,Grêmio,Sport Recife,1,1,1.07,1.07,1.35,3.1,2.05,1.75,3.5,1.25,2
124,Chapecoense,Fluminense,2,1,1.09,1.09,1.42,2.7,2.35,1.57,4.15,1.2,3
125,Santos,Joinville,2,0,1.07,1.07,1.38,3.0,2.1,1.7,3.75,1.25,2
126,Goiás,Flamengo,0,1,1.1,1.1,1.48,2.6,2.4,1.53,4.4,1.18,1
127,Ponte Preta,Internacional,0,0,1.08,1.08,1.4,2.85,2.25,1.62,4.0,1.22,0
128,São Paulo,Cruzeiro,1,0,1.08,1.08,1.42,2.75,2.25,1.62,4.1,1.2,1
129,Atlético Mineiro,São Paulo,3,1,1.06,1.06,1.33,3.2,2.0,1.8,3.4,1.3,4
130,Corinthians,Vasco da Gama,3,0,1.07,1.07,1.35,3.0,2.1,1.7,3.6,1.25,3
131,Fluminense,Grêmio,1,0,1.1,1.1,1.48,2.6,2.5,1.5,4.4,1.18,1
132,Fluminense,Grêmio,1,0,1.1,1.1,1.48,2.6,2.5,1.5,4.4,1.18,1
133,Figueirense,Ponte Preta,3,1,1.1,1.1,1.45,2.6,2.4,1.53,4.4,1.18,4
134,Flamengo,Santos,2,2,1.07,1.07,1.35,3.0,2.1,1.7,3.75,1.25,4
135,Internacional,Chapecoense,0,0,1.08,1.08,1.42,2.7,2.35,1.57,4.2,1.2,0
136,Joinville,Avaí,2,0,1.09,1.09,1.42,2.7,2.4,1.53,4.25,1.2,2
137,Sport Recife,Cruzeiro,0,0,1.08,1.08,1.42,2.75,2.25,1.62,4.1,1.2,0
138,Avaí,Fluminense,1,0,1.08,1.08,1.42,2.8,2.25,1.62,4.0,1.2,1
139,Santos,Coritiba,3,0,1.06,1.06,1.33,3.2,1.95,1.85,3.4,1.3,3
140,Athletico-PR,Sport Recife,1,1,1.08,1.08,1.4,2.85,2.3,1.6,4.0,1.22,2
141,Vasco da Gama,Joinville,0,0,1.11,1.11,1.52,2.53,2.6,1.48,5.0,1.16,0
142,Cruzeiro,Palmeiras,2,1,1.09,1.09,1.44,2.72,2.25,1.62,4.25,1.2,3
143,Ponte Preta,Flamengo,1,0,1.09,1.09,1.45,2.7,2.15,1.67,4.3,1.2,1
144,São Paulo,Corinthians,1,1,1.12,1.12,1.55,2.45,2.7,1.44,5.25,1.15,2
145,Grêmio,Internacional,5,0,1.09,1.09,1.42,2.7,2.3,1.6,4.2,1.2,5
146,Coritiba,Palmeiras,2,1,1.09,1.09,1.44,2.8,2.35,1.57,4.0,1.2,3
147,Flamengo,Athletico-PR,3,2,1.08,1.08,1.38,2.9,2.1,1.7,3.75,1.22,5
148,Figueirense,São Paulo,0,2,1.09,1.09,1.42,2.7,2.3,1.6,4.1,1.2,2
149,Internacional,Fluminense,1,0,1.09,1.09,1.45,2.8,2.3,1.6,4.3,1.18,1
150,Ponte Preta,Avaí,2,0,1.08,1.08,1.38,3.0,2.05,1.75,3.75,1.22,2
151,Atlético Mineiro,Grêmio,0,2,1.07,1.07,1.38,3.0,2.1,1.7,3.75,1.25,2
152,Joinville,Cruzeiro,3,0,1.11,1.11,1.52,2.55,2.6,1.48,5.0,1.16,3
153,Athletico-PR,Santos,0,0,1.08,1.08,1.38,2.9,2.15,1.67,3.75,1.22,0
154,Vasco da Gama,Coritiba,0,1,1.09,1.09,1.42,2.81,2.35,1.57,4.3,1.2,1
155,São Paulo,Goiás,0,3,1.08,1.08,1.4,2.85,2.25,1.62,4.0,1.22,3
156,Palmeiras,Flamengo,4,2,1.07,1.07,1.38,2.9,2.15,1.67,3.75,1.22,6
157,Avaí,Corinthians,1,2,1.1,1.1,1.48,2.71,2.4,1.53,4.4,1.18,3
158,Cruzeiro,Internacional,0,0,1.09,1.09,1.42,2.82,2.35,1.57,4.3,1.2,0
159,Fluminense,Figueirense,2,1,1.09,1.09,1.42,2.7,2.15,1.67,4.3,1.2,3
160,Sport Recife,Ponte Preta,1,1,1.07,1.07,1.38,3.0,2.05,1.75,3.75,1.25,2
161,Grêmio,Joinville,2,1,1.07,1.07,1.35,3.0,2.15,1.67,3.75,1.25,3
162,Santos,Avaí,5,2,1.04,1.04,1.28,3.5,1.9,1.9,3.0,1.35,7
163,Figueirense,Sport Recife,2,1,1.08,1.08,1.42,2.75,2.25,1.62,4.1,1.2,3
164,Coritiba,Chapecoense,1,0,1.1,1.1,1.5,2.5,2.4,1.53,4.75,1.16,1
165,Ponte Preta,Grêmio,0,0,1.09,1.09,1.45,2.65,2.35,1.57,4.3,1.18,0
166,Corinthians,Cruzeiro,3,0,1.09,1.09,1.45,2.7,2.25,1.62,4.3,1.18,3
167,Flamengo,São Paulo,2,1,1.07,1.07,1.35,3.1,2.15,1.67,3.5,1.25,3
168,Internacional,Athletico-PR,2,0,1.08,1.08,1.42,2.8,2.25,1.62,4.0,1.2,2
169,Joinville,Fluminense,2,1,1.1,1.1,1.45,2.65,2.5,1.5,4.3,1.18,3
170,Atlético Mineiro,Palmeiras,2,1,1.05,1.05,1.28,3.5,1.9,1.9,3.1,1.35,3
171,São Paulo,Ponte Preta,3,0,1.07,1.07,1.38,3.0,2.17,1.75,3.75,1.25,3
172,Avaí,Internacional,3,0,1.09,1.09,1.42,2.7,2.35,1.58,4.1,1.2,3
173,Grêmio,Coritiba,0,0,1.1,1.1,1.48,2.6,2.45,1.52,4.5,1.18,0
174,Chapecoense,Corinthians,1,3,1.14,1.14,1.62,2.25,3.0,1.38,5.5,1.13,4
175,Fluminense,Atlético Mineiro,1,2,1.06,1.06,1.33,3.1,2.06,1.84,3.4,1.28,3
176,Palmeiras,Joinville,3,2,1.06,1.06,1.3,3.2,2.02,1.89,3.3,1.3,5
177,Sport Recife,Flamengo,0,1,1.07,1.07,1.35,3.0,2.14,1.77,3.6,1.25,1
178,Athletico-PR,Goiás,3,0,1.09,1.09,1.45,2.65,2.4,1.55,4.3,1.18,3
179,Cruzeiro,Santos,0,1,1.09,1.09,1.45,2.7,2.35,1.55,4.3,1.2,1
180,Internacional,Vasco da Gama,6,0,1.07,1.07,1.35,3.0,2.1,1.84,3.75,1.25,6
181,Joinville,São Paulo,0,0,1.07,1.07,1.38,3.0,2.15,1.78,3.75,1.25,0
182,Ponte Preta,Cruzeiro,1,2,1.09,1.09,1.42,2.7,2.35,1.58,4.2,1.2,3
183,Atlético Mineiro,Athletico-PR,0,1,1.04,1.04,1.25,3.5,1.84,2.07,3.0,1.35,1
184,Atlético Mineiro,Athletico-PR,0,1,1.04,1.04,1.25,3.5,1.84,2.07,3.0,1.35,1
185,Corinthians,Fluminense,2,0,1.09,1.09,1.45,2.7,2.35,1.55,4.3,1.2,2
186,Coritiba,Sport Recife,0,0,1.08,1.08,1.4,2.85,2.3,1.67,4.0,1.22,0
187,Goiás,Palmeiras,1,0,1.09,1.09,1.42,2.7,2.35,1.58,4.1,1.2,1
188,Santos,Chapecoense,3,1,1.07,1.07,1.38,3.0,2.17,1.75,3.75,1.22,4
189,São Paulo,Internacional,2,0,1.07,1.07,1.38,3.0,2.17,1.75,3.75,1.25,2
190,Vasco da Gama,Atlético Mineiro,1,2,1.05,1.05,1.3,3.2,2.03,1.92,3.2,1.3,3
191,Athletico-PR,Joinville,0,0,1.08,1.08,1.42,2.8,2.3,1.58,4.0,1.2,0
192,Cruzeiro,Figueirense,5,1,1.08,1.08,1.4,2.9,2.25,1.62,4.0,1.22,6
193,Avaí,Coritiba,0,2,1.09,1.09,1.45,2.7,2.35,1.55,4.3,1.2,2
194,Fluminense,Flamengo,1,3,1.09,1.09,1.45,2.7,2.4,1.55,4.3,1.18,4
195,Grêmio,Goiás,2,1,1.1,1.1,1.5,2.45,2.5,1.48,4.8,1.16,3
196,Palmeiras,Corinthians,3,3,1.09,1.09,1.42,2.7,2.35,1.58,4.25,1.2,6
197,Sport Recife,Santos,1,1,1.07,1.07,1.35,3.0,2.19,1.79,3.6,1.25,2
198,Atlético Mineiro,Avaí,2,0,1.02,1.02,1.2,4.3,1.62,2.25,2.5,1.48,2
